,radius,movement
48,0.11113102750377545,[  2.14905507 -13.67268509]
49,0.05943302791362329,[  3.49293704 -12.80901119]
50,0.11136279215072989,[ -1.64175391 -12.75332548]
51,0.03406228904727216,[ 0.02222222 -0.08888889]
52,0.07035876171402046,[  3.84286348 -15.04809397]
53,0.10890466637939827,[  0.96667345 -13.71104266]
54,0.05026672733058051,[  1.71585557 -11.06593407]
55,0.10735476723954324,[  1.47905078 -13.6947453 ]
56,0.06697954565294054,[  5.56773399 -12.85221675]
57,0.1060256192647171,[  0.15543906 -12.75132849]
58,0.060080230603120906,[  4.40059524 -11.41349206]
59,0.034811000225527716,[-0.0892692  -0.17113784]
60,0.09727485793659914,[  1.89043541 -11.00984819]
61,0.06156391649976791,[  4.96785299 -13.51393728]
62,0.039331743501314846,[ 0.27575758 -7.75757576]
63,0.10663183129052593,[ -3.34742584 -14.35275654]
64,0.058778699412617694,[  5.0203633  -10.73799607]
65,0.06260216704471842,[  4.77746379 -13.15175733]
66,0.08867832733069872,[  5.11775353 -13.27695092]
67,0.045416385396362884,[-0.02083333 -8.6908046 ]
68,0.057447688377806304,[  4.8203125 -11.2312627]
69,0.053496954929028076,[  1.55483069 -14.20379   ]
70,0.12260321266287089,[  0.75012397 -13.80558965]
71,0.06542166865517303,[  5.86925885 -12.50704637]
72,0.11194010442871269,[  0.7241676 -13.2617284]
73,0.05811700441605883,[  5.48916382 -11.60226375]
74,0.06522431777218035,[  1.55053763 -14.40175953]
75,0.06755448792061862,[  5.89869925 -10.8090921 ]
76,0.10294102399405484,[ -2.40786765 -12.78989233]
77,0.06906427183764484,[  5.36740859 -12.50190779]
78,0.05445233318969914,[  4.26086957 -11.07826087]
79,0.10663183129052593,[  3.51070184 -13.683319  ]
80,0.06442886950523666,[  4.5441221  -12.82843509]
81,0.06659349318298727,[  4.38827581 -13.59291216]
82,0.10984758151846191,[ -2.07167174 -14.39379618]
83,0.055854768771227865,[  1.09458219 -13.40340468]
84,0.058778699412617694,[  0.084      -11.88979104]
85,0.11578951768645235,[ -1.10731367 -12.46918095]
86,0.0596495423935709,[  4.46736524 -12.04405172]
87,0.06260216704471842,[  5.21418129 -12.74415205]
88,0.06482781368582924,[  1.00952535 -12.99329997]
89,0.062188946904840385,[ 3.72715686 -9.59196078]
90,0.10040514132915124,[  3.57066635 -16.13939249]
91,0.06601018127508748,[  5.62219713 -12.94732949]
92,0.06321693302460576,[  3.00195141 -13.43273596]
93,0.10747478378595322,[ -4.56413543 -13.9063384 ]
94,0.05103031627248249,[  3.96155116 -10.95041254]
95,0.03443867935796615,[ 0.37487923 -9.10821256]
96,0.05077706251929806,[ -1.65851852 -12.02888889]
97,0.06342053075951334,[  2.5840081  -13.76518219]
